#GENE	CONDITION	INHERITANCE	AGE GROUP
GJA5	Atrial fibrillation, familial 11; Progressive familial heart block, type I; Atrial standstill, digenic	AD/Digenic	Adult
GJA8	Cataract 1, multiple types	AD/AR	N/A
GJB1	Charcot-Marie-Tooth neuropathy, X-linked dominant, 1 	XL	N/A
GJB2	Deafness, autosomal recessive 1A; Deafness, digenic; Hystrix-like ichthyosis with deafness; Deafness, autosomal dominant 3A; Bart-Pumphrey syndrome; Keratoderma, palmoplantar, with deafness; Vohwinkel syndrome; Keratitis-icthyosis-deafness syndrome	AD/AR/Digenic	Pediatric
GJB3	Deafness, autosomal recessive; Deafness, autosomal dominant, with peripheral neuropathy; Deafness digenic	AD/Digenic	Pediatric
GJB4	Erythrokeratodermia variabilis et progressiva ; Erythrokeratodermia variabilis with erythema gyratum repens	AD	N/A
GJB6	Deafness, autosomal recessive 1B; Deafness, digenic	AR/Digenic	Pediatric
GJC2	Lymphedema, hereditary, IC; Spastic paraplegia 44, autosomal recessive; Leukodystrophy, hypomyelinating, 2	AD/AR	N/A
GK	Glycerol kinase deficiency	XL	Pediatric
GLA	Fabry disease; Fabry disease, cardiac variant 	XL	Pediatric
GLB1	Mucopolysaccharidosis type IVB (Morquio syndrome B);  GM1-gangliosidosis, type I; GM1-gangliosidosis, type II; GM1-gangliosidosis, type III	AR	N/A
GLDC	Glycine encephalopathy	AR	Pediatric
GLE1	Arthrogryposis, lethal, with anterior horn cell disease; Lethal congenital contracture syndrome 1 	AR	N/A
GLI2	Culler-Jones syndrome	AD	Pediatric
GLI3	Acrocallosal syndrome; Pallister-Hall syndrome; Grieg cephalopolysndactyly syndrome; Postaxial polydactyly type A1; Polydactyly, preaxial, type IV; Polydactyly, postaxial, types A1 and B	AD	N/A
GLIS2	Nephronophthisis 7	AR	N/A
GLIS3	Diabetes mellitus, neonatal, with congenital hypothyroidism	AR	Pediatric
GLMN	Glomuvenous malformations	AD	N/A
GLRA1	Hyperekplexia, hereditary	AD/AR	Pediatric
GLRB	Hyperekplexia 2	AR	Pediatric
GLRX5	Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive	AR	Pediatric
GLUD1	Hyperinsulinemic hypoglycemia, familial; Hyperammonemia-hyperinsulinism	AD/AR	Pediatric
GLUL	Glutamine deficiency, congenital	AR	Pediatric
GLYCTK	D-glyceric aciduria	AR	N/A
GM2A	GM2-gangliosidosis, AB variant	AR	N/A
GMPPA	Alacrima, achalasia, and mental retardation syndrome	AR	N/A
GMPPB	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14; Limb-girdle muscular dystrophy-dystroglycanopathy, type B, 14; Limb-girdle muscular dystrophy-dystroglycanopathy, type C, 14	AR	Pediatric
GNA11	Hypocalcemia 2, autosomal dominant; Hypocalciuric hypercalcemia, autosomal dominant	AD	Pediatric
GNAI3	Auriculocondylar syndrome 1	AD	N/A
GNAL	Primary torsion dystonia	AD	N/A
GNAO1	Epileptic encephalopathy, early infantile, 17	AD	N/A
GNAS	Pseudohypoparathyroidism, type IA; Pseudohypoparathyroidism, type IB; Pseudohypoparathyroidism, type IC; Progressive osseous heteroplasia; McCune-Albright syndrome	AD	Pediatric
GNAT1	Night blindness, congenital stationary, autosomal dominant 3; Night blindness, congenital stationary, autosomal recessive, 1G	AD/AR	N/A
GNAT2	Achromatopsia 4	AR	N/A
GNB4	Charcot-Marie-Tooth disease, dominant intermediate F	AD	N/A
GNE	Sialuria, French type ; Nonaka myopathy; Inclusion body myopathy, autosomal recessive	AD/AR	N/A
GNMT	Glycine N-methyltransferase deficiency	AR	N/A
GNPAT	Rhizomelic chondrodysplasia punctata, rhizomelic, type 2	AR	N/A
GNPTAB	Mucolipidosis III alpha/beta (Pseudo-Hurler polydstrophy); Mucolipidosis II alpha/beta (I-cell disease)	AR	N/A
GNPTG	Mucolipidosis III gamma	AR	N/A
GNRH1	Hypogonadotropic hypogonadism 12 with or without anosmia	AR/Digenic	Pediatric
GNRHR	Hypogonadotropic hypogonadism 7 without anosmia; Hypogonadotropic hypogonadism 23 with or without anosmia	AD/AR/Digenic	Pediatric
GNS	Mucopolysaccharidosis IIID (Sanfilippo syndrome D)	AR	N/A
GORAB	Geroderma osteodysplasticum	AR	N/A
GOSR2	Epilepsy, progessive myoclonic 6	AR	N/A
GP1BA	Bernard-Soulier syndrome, type A2; Bernard-Soulier syndrome, type A1; Pseudo-von Willebrand disease	AD/AR	Pediatric
GP1BB	Bernard-Soulier syndrome; Giant platelet disorder, isolated	AR	Pediatric
GP6	Bleeding disorder, platelet-type, 11	AR	Pediatric
GP9	Bernard-Soulier syndrome	AR	Pediatric
GPC3	Simpson-Golabi-Behmel syndrome, type 1	XL	Pediatric
GPC6	Omodysplasia 1	AR	N/A
GPD1	Hypertriglyceridemia, transient infantile	AR	Pediatric
GPD1L	Brugada syndrome 2	AD	Pediatric
GPHN	Hyperekplexia, autosomal dominant; Molybdenum cofactor deficiency, type C	AD/AR	N/A
GPI	Hemolytic anemia, nonspherocytic due to glucose phosphate isomerase deficiency	AD	Pediatric
GPIHBP1	Hyperlipoproteinemia, type ID	AR	Pediatric
GPR101	Pituitary adenoma, growth hormone secreting, 2	XL	Pediatric
GPR143	Nystagmus 6, congenital, X-linked; Ocular albinism, type I	XL	N/A
GPR179	Night blindness, congenital stationary, type 1E	AR	N/A
GPSM2	Chudley-McCullough syndrome; Deafness, autosomal recessive 82	AR	Pediatric
GPT2	Mental retardation, autosomal recessive 49	AR	N/A
GPX4	Sedaghatian-type spondylometaphyseal dysplasia	AR	N/A
GRHL2	Ectodermal dysplasia/short stature syndrome	AD/AR	Pediatric
GRHL3	van der Woude syndrome 2	AD	N/A
GRHPR	Hyperoxaluria, primary, type II	AR	Pediatric
GRIA3	Mental retardation, X-linked 94	XL	N/A
GRID2	Spinocerebellar ataxia, autosomal recessive 18	AR	N/A
GRIK2	Mental retardation, autosomal recessive 6	AR	N/A
GRIK4	Response to antidepressant treatment with citalopram	AD	Pediatric
GRIN1	Mental retardation, autosomal dominant 8	AD	N/A
GRIN2A	Epilepsy, focal, with speech disorder and with or without mental retardation	AD	N/A
GRIN2B	Mental retardation, autosomal dominant 6; Epileptic encephalopathy, early infantile 27	AD	N/A
GRIP1	Fraser syndrome	AR	N/A
GRK1	Oguchi disease 2	AR	N/A
GRM1	Spinocerebellar ataxia, autosomal recessive 13	AR	N/A
GRM6	Night blindness, congenital stationary, type 1B	AR	N/A
GRN	Frontotemporal lobar degeneration with TDP43 inclusions, GRN-related; Neuronal ceroid lipofuscinosis 11	AD/AR	N/A
GRXCR1	Deafness, autosomal recessive 25	AR	Pediatric
GRXCR2	Deafness, autosomal recessive 101	AR	Pediatric
GSC	Short Stature, Auditory-Canal Atresia, Mandibular Hypoplasia, and Skeletal Abnormalities (SAMS)	AR	Pediatric
GSN	Amyloidosis, Finnish type	AD	Adult
GSS	Glutathione synthetase deficiency	AR	Pediatric
GTF2H5	Trichothiodystrophy 3, photosensitive	AR	N/A
GTPBP3	Combined oxidative phosphorylation deficiency 23	AR	Pediatric
GUCA1A	Cone dystrophy 3/Cone-rod dystrophy 14	AD	N/A
GUCA1B	Retinitis pigmentosa 48	AD	N/A
GUCY1A3	Moyamoya disease 6 with achalasia	AR	Pediatric
GUCY2C	Diarrhea 6; Meconium ileus	AD/AR	Pediatric
GUCY2D	Cone-rod dystrophy 6; Leber congenital amaurosis, type 1; Cone-Rod dystrophy, autosomal recessive	AD/AR	N/A
GUSB	Mucopolysaccharidosis type VII	AR	N/A
GYG1	Glycogen storage disease XV	AR	Pediatric
GYPA	Blood group, MN locus; Blood group, Erik	BG	Pediatric
GYPB	Blood group, Ss	BG	Pediatric
GYPC	Blood group, Gerbich; Blood group, Webb; Blood group, Duch	BG	Pediatric
GYS1	Glycogen storage disease, type 0, muscle	AR	Pediatric
GYS2	Glycogen storage disease, type 0, liver	AR	Pediatric
H19	Wilms tumor 2; Beckwith-Wiedemann syndrome	AD (with imprinting)	Pediatric
H6PD	Cortisone reductase deficiency	AR 	N/A
HABP2	Thyroid cancer, nonmedullary 5	AD	Pediatric
HADH	3-hydroxyacyl-CoA dehydrogenase deficiency	AR	Pediatric
HADHA	Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency; Trifunctional protein deficiency	AR	Pediatric
HADHB	Trifunctional protein deficiency	AR	Pediatric
HAL	Histidinemia	AR	N/A
HAMP	Hemochromatosis, type 2B	AR	Pediatric
HARS	Usher syndrome, type 3B	AR	Pediatric
HARS2	Perrault syndrome 2	AR	Pediatric
HAX1	Neutropenia, severe congenital, 3	AR	Pediatric
HBA1	Alpha-thalassemia (Hemoglobin Bart syndrome); Alpha-thalassemia (Hemoglobin H  disease)	AR/Digenic	Pediatric
HBA2	Alpha-thalassemia (Hemoglobin Bart syndrome); Alpha-thalassemia (Hemoglobin H  disease)	AR/Digenic	Pediatric
HBB	Beta-thalassemia; Sickle cell disease; Thalassemia-beta, dominant inclusion body; Other Thalassemias/Hemoglobinopathies	AD/AR/Digenic	Pediatric
HBG1	Hereditary persistence of fetal hemoglobin	AD	N/A
HBG2	Cyanosis, transient neonatal	AD	Pediatric
HCCS	Linear skin defects with multiple congenital anomalies 1 (MIDAS syndrome)	XL	Pediatric
HCFC1	Combined methylmalonic acidemia and hyperhomocysteinemia	XL	Pediatric
HCN1	Epileptic encephalopathy, early infantile, 24	AD	N/A
HCN4	Brugada syndrome 8; Sick sinus syndrome 2	AD	Pediatric
HCRT	Narcolepsy 1	AD	N/A
HDAC4	Brachydacytly-mental retardation syndrome	AD	N/A
HDAC6	Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia	XL	N/A
HDAC8	Cornelia de Lange syndrome 3	XL	N/A
HDC	Tourette's syndrome	AD	N/A
HEPACAM	Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation; Megalencephalic leukoencephalopathy with subcortical cysts 2A	AD/AR	N/A
HERC2	Skin/hair/eye pigmentation 1; Mental retardation, autosomal recessive 38	AD/AR	N/A
HES7	Spondylocostal dysostosis 4, autosomal recessive	AR	N/A
HESX1	Pituitary hormone deficiency, combined; Septooptic dysplasia	AR/AD	Pediatric
HEXA	Tay-Sachs disease; GM2-gangliosidosis; Hexosaminidase A deficiency	AR	N/A
HEXB	Sandhoff disease	AR	N/A
HFE	Hemochromatosis	AR/Digenic	Pediatric
HFE2	Hemochromatosis, type 2A	AR	Pediatric
HFM1	Premature ovarian failure 9	AR	Pediatric
HGD	Alkaptonuria	AR	Pediatric
HGF	Deafness, autosomal recessive 39	AR	Pediatric
HGSNAT	Mucopolysaccharidosis type IIIC (Sanfilippo syndrome C); Retinitis pigmentosa 73	AR	N/A
HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency	AR	Pediatric
HK1	Hemolytic anemia, nonspherocytic, due to hexokinase deficiency	AR	Pediatric
HLA-A	Drug-induced toxicity, susceptibility to	AD	Pediatric
HLA-B	Drug-induced toxicity, susceptibility to	AD	Pediatric
HLCS	Holocarboxylase synthetase deficiency	AR	Pediatric
HMBS	Hydroxymethylbilane synthase deficiency; Porphyria, acute intermittent	AD/AR	Pediatric
HMGB3	Microphthalmia, syndromic 13	XL	N/A
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase deficiency	AR	Pediatric
HMGCR	Statins, efficacy of	AD	Pediatric
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 deficiency	AR	Pediatric
HMOX1	Heme oxygenase 1 deficiency	AR	N/A
HMX1	Oculoauricular syndrome	AD	N/A
HNF1A	Renal cell carcinoma, nonpapillary clear cell; Liver adenomatosis; Maturity onset diabetes of the young, type III	AD	Pediatric
HNF1B	Renal cell carcinoma, nonpapillary chromophobe	AD	Adult
HNF4A	Congenital hyperinsulinism, diazoxide-responsive; Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young; Maturity onset diabetes of the young, 1	AD	Pediatric
HNRNPA1	Amyotrophic lateral sclerosis 19; Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 3	AD	N/A
HNRNPA2B1	Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2	AD	N/A
HNRNPDL	Limb-girdle muscular dystrophy, type 1G	AD	N/A
HNRNPK	Au-Kline syndrome	AD	N/A
HOGA1	Hyperoxaluria, primary, type III	AD/AR	Pediatric
HOXA1	Athabaskan brainstem dysgenesis syndrome; Bosley-Salih-Alorainy syndrome	AR	Pediatric
HOXA11	Radioulnar synostosis with amegakaryocytic thrombocytopenia	AD	Pediatric
HOXA13	Hand-foot-genital syndrome; Guttmacher syndrome; Hand-foot-uterus syndrome	AD	N/A
HOXA2	Microtia, hearing impairment, and cleft palate	AR	Pediatric
HOXB1	Facial paresis, hereditary congenital, 3	AR	Pediatric
HOXC13	Ectodermal dysplasia 9	AR	N/A
HOXD10	Vertical talus, congenital	AD	N/A
HOXD13	Brachydactyly-syndactyly syndrome; Brachydactyly, type D; Brachydactyly, type E1; Syndactyly, type V; Synopolydactyly, type I, Synopolydactyly, type II; Synopolydactyly with clefting, autosomal recessive	AD/AR	N/A
HP	Anhaptoglobinemia; Hypohaptoglobinemia	AR	Pediatric
HPCA	Dystonia 2, torsion, autosomal recessive	AR	N/A
HPD	Tyrosinemia, type III; Hawksinuria	AD/AR	Pediatric
HPGD	Hypertrophic osteoarthropathy, primary, autosomal recessive 1; Cranioosteoarthropathy; Digital clubbing, isolated congenital 	AR	Pediatric
HPRT1	Kelley-Seegmiller syndrome; Lesch-Nyhan syndrome	XL	Pediatric
HPS1	Hermansky-Pudlak syndrome 1	AR	Pediatric
HPS3	Hermansky-Pudlak syndrome 3	AR	Pediatric
HPS4	Hermansky-Pudlak syndrome 4	AR	Pediatric
HPS5	Hermansky-Pudlak syndrome 5	AR	Pediatric
HPS6	Hermansky-Pudlak syndrome 6	AR	Pediatric
HPSE2	Ochoa syndrome; Urofacial syndrome 1	AR	Pediatric
HR	Hypotrichosis 4; Atrichia with papular lesions; Alopecia universalis congenita	AD/AR	N/A
HRAS	Costello syndrome; Congenital myopathy with excess of muscle spindles	AD	Pediatric
HRG	Thrombophilia due to histidine-rich glycoprotein deficiency	AD	Adult
HS6ST1	Hypogonadotropic hypogonadism 15, with or without anosmia	AD/AR/Digenic/Multigenic	Pediatric
HSD11B1	Cortisone reductase deficiency 1	AD/AR (Triallelic)	N/A
HSD11B2	Cortisol 11-beta-ketoreductase deficiency	AR	Pediatric
HSD17B10	17-beta-hydroxysteroid dehydrogenase X deficiency; Mental retardation, X-linked syndromic 10	XL	N/A
HSD17B3	17-Beta hydroxysteroid dehydrogenase III deficiency	AR	Pediatric
HSD17B4	Perrault syndrome	AR	Pediatric
HSD3B2	3-beta-hydroxysteroid dehydrogenase, type II deficiency	AR	Pediatric
HSD3B7	Bile acid synthesis defect, congenital, 1	AR	Pediatric
HSF4	Cataract 5, multiple types	AD	N/A
HSPA1L	Abacavir, susceptibility to toxicity with	AD 	Pediatric
HSPB1	Neuropathy, distal hereditary motor, type IIB; Charcot-Marie-Tooth disease, axonal, type 2F 	AD	N/A
HSPB3	Neuronopathy, distal hereditary motor, type IIC	AD	N/A
HSPB8	Charcot-Marie-Tooth disease, axonal, type 2L; Distal hereditary motor neuronopathy IIA	AD	N/A
HSPD1	Spastic paraplegia-13; Leukodystrophy, hypomyelinating, 4	AD/AR	N/A
HSPG2	Schwartz-Jampel syndrome, type 1	AD/AR	Pediatric
HTR1A	Periodic fever, menstrual cycle dependent	AD	Pediatric
HTR2A	Major depressive disorder, response to citalopram therapy in; Clozapine, response to	AD	Pediatric
HTRA1	Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy (CARASIL)	AR	N/A
HTT	Huntington disease	AD	N/A
HUWE1	Mental retardation, X-linked syndromic, Turner type	XL	N/A
HYAL1	Mucopolysaccharidosis type IX	AR	N/A
HYLS1	Hydrolethalus syndrome	AR	N/A
IARS2	Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia (CAGSSS)	AR	Pediatric
IBA57	Multiple mitochondrial dysfunctions syndrome 3; Spastic paraplegia 74, autosomal recessive	AR	N/A
ICAM4	Blood group, Landsteiner-Wiener	BG	Pediatric
ICK	Endocrine-cerebroosteodysplasia	AR	N/A
ICOS	Immunodeficiency, common variable, 1	AR	Pediatric
IDH2	D-2-hydroxyglutaric aciduria 2	AD	N/A
IDH3B	Retinitis pigmentosa, autosomal recessive, IDH3B-related	AR	N/A
IDS	Mucopolysaccharidosis type II	XL	Pediatric
IDUA	Mucopolysaccharidosis type I	AR	Pediatric
IER3IP1	Microcephaly, epilepsy, and diabetes syndrome	AR	N/A
IFIH1	Singleton-Merten syndrome 1	AD	Pediatric
IFITM5	Osteogenesis imperfecta, type V	AD	N/A
IFNGR1	Immunodeficiency 27B; Immunodeficiency 27A	AD/AR	Pediatric
IFNGR2	Immunodeficiency 28	AR	Pediatric
IFNL3	Drug metabolism, IL28B-related	AD	Pediatric
IFT122	Cranioectodermal dysplasia 1; Sensenbrenner syndrome	AR	N/A
IFT140	Short-rib thoracic dysplasia 9 with or without polydactyly	AR	N/A
IFT172	Retinitis pigmentosa 71; Short -rib thoracic dysplasia 10 with or without polydactyly	AR	N/A
IFT27	Bardet Biedl syndrome 19	AR	N/A
IFT43	Cranioectodermal dysplasia 3	AR	N/A
IFT80	Short-rib thoracic dysplasia 2 with or without polydactyly	AR	N/A
IFT88	Ciliopathy, IFT88-related	AR	N/A
IGBP1	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia	XL	N/A
IGF1	Insulin-like growth factor I deficiency	AR	Pediatric
IGF1R	Insulin-like growth factor I, resistance to	AD/AR	Pediatric
IGF2	Growth restriction, severe, with distinctive facies	AD	Pediatric
IGFALS	Insulin-like growth factor-binding protein, acid-labile subunit, deficiency of	AR	Pediatric
IGFBP7	Retinal arterial macroaneurysm with supravalvular pulmonic stenosis	AR	N/A
IGHM	Agammaglobulinemia 1	AR	Pediatric
IGHMBP2	Spinal muscular atrophy, distal, autosomal recessive, 1; Charcot-Marie-Tooth disease, axonal, type 2S	AR	N/A
IGKC	Immunoglobulin kappa light chain deficiency	AR	N/A
IGLL1	Agammaglobulinemia 2	AR	Pediatric
IGSF1	Central hypothyroidism and testicular enlargement	XL	Pediatric
IGSF3	Lacrimal duct defect	AR	Pediatric
IHH	Acrocapitofemoral dysplasia; Brachydactyly, type A1 	AD/AR	N/A
IKBKAP	Dysautonomia, familial	AR	N/A
IKBKB	Immunodeficiency 15	AR	Pediatric
IKBKG	Immunodeficiency 33; Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency; Immunodeficiency, isolated; Incontinentia pigmenti, type II; Invasive pneumococcal disease, recurrent, isolated, 2	XL	Pediatric
IL10	Graft vs. host disease	AD	Pediatric
IL10RA	Inflammatory bowel disease 28, autosomal recessive	AR	N/A
IL10RB	Inflammatory bowel disease 25, early onset, autosomal recessive	AR	N/A
IL11RA	Craniosynostosis and dental anomalies	AR	N/A
IL12B	Immunodeficiency 28; Immunodeficiency 29	AR	Pediatric
IL12RB1	Immunodeficiency 30	AR	Pediatric
IL17F	Candidiasis, familial, 6	AD	Pediatric
IL17RA	Candiasis, familial, 5	AR	Pediatric
IL17RC	Candiasis, familial, 9	AR	Pediatric
IL17RD	Hypogonadotropic hypogonadism 18, with or without anosmia	AD/Digenic	Pediatric
IL1RAPL1	Mental retardation, X-linked 21/34	XL	N/A
IL1RN	Osteomyelitis, sterile multifocal, with periostitis and pustulosis	AR	Pediatric
IL21	Immunodeficiency, common variable, 11	AR	Pediatric
IL21R	Immunodeficiency, primary, autosomal recessive, IL21R-related	AR	Pediatric
IL2RA	Interleukin 2 receptor, alpha, deficiency of	AR	Pediatric
IL2RG	Combined immunodeficiency, X-linked	XL	Pediatric
IL31RA	Amyloidois, primary localized cutaneous, 2	AD	N/A
IL36RN	Pustular psoriasis, generalized	AR	N/A
IL7R	Severe combined immunodeficiency, autosomal recessive, T-cell negative, B-cell positive, NK cell positive	AR	Pediatric
ILDR1	Deafness, autosomal recessive 42	AR	Pediatric
IMPAD1	Chondrodysplasia with joint dislocations, GPAPP type	AR	N/A
IMPDH1	Retinitis pigmentosa 10; Leber congenital amaurosis 11	AD	N/A
IMPDH2	IMPDH2 enzyme activity, variation in	AD	Pediatric
IMPG1	Macular dystrophy, vitelliform, 4	AD	N/A
IMPG2	Retinitis pigmentosa 56	AR	N/A
INF2	Glomerulosclerosis, focal segmental, 5 ; Charcot-Marie-Tooth disease, dominant intermediate E	AD	N/A
INPP5E	Joubert syndrome 1; Mental retardation, truncal obesity, retinal dystrophy, and micropenis (MORM syndrome)	AR	N/A
INPPL1	Opsismodysplasia	AR	Pediatric
INS	Diabetes mellitus, permanent neonatal	AD	Pediatric
INSL3	Cryptorchidism	AD	N/A
INSR	Hyperinsulinemic hypoglycemia, familial, 5; Rabson-Mendenhall syndrome; Donohoe syndrome	AD/AR	Pediatric
INVS	Nephronophthisis 2	AR	N/A
IPMK	Small intestinal carcinoid, hereditary	AD	Pediatric
IQCB1	Senior-Loken syndrome 5	AR	N/A
IQSEC2	Mental retardation, X-linked 1	XL	N/A
IRAK4	IRAK4 deficiency; Invasive pneumococcal disease, recurrent, isolated, 1	AR	Pediatric
IRF3	Herpes simplex encephalitis, susceptibility to, 7	AD	Pediatric
IRF4	Skin/hair/eye pigmentation, variation in, 8	AD	N/A
IRF6	Popliteal pterygium syndrome; van der Woude syndrome 1; Orofacial cleft 6;	AD	N/A
IRF7	Immunodeficiency 39	AR	Pediatric
IRF8	Immunodeficiency 32A (CD11C-positive/CD1C-positive dendritic cell deficiency); Immunodeficiency 32B (monocyte and dendritic cell deficiency)	AD	Pediatric
ISCA2	Multiple mitochondrial dysfunctions syndrome 4	AR	N/A
ISCU	Myopathy with lactic acidosis, hereditary	AR	Pediatric
ISG15	Immunodeficiency 38, with basal ganglia calcification	AR	Pediatric
ISPD	Muscular dystrophy-dystroglycanopathy (congenital, with brain and eye anomalies), type A, 7; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7	AR	N/A
ITCH	Autoimmune disease, syndromic multisystem	AR	Pediatric
ITGA2B	Glanzmann thrombasthenia	AR	Pediatric
ITGA3	Interstitial lung disease with nephrotic syndrome and epidermolysis bullosa	AR	N/A
ITGA6	Epidermolysis bullosa, junctional, with pyloric stenosis	AR	N/A
